num_subjects,trials_per_subject,images_per_trial,subjects_noise_scale,subjects_noise_df,frac_trials_repeated,perspective_dispersion,rep,ndim,niter,stress,status,confdist_row
50,10,20,0.5,1,0.0,0.0,0,6,50.0,0.9689762592315674,success,64
50,10,20,0.5,1,0.0,0.0,1,2,50.0,0.4873238205909729,success,65
50,10,20,0.5,1,0.0,0.0,1,3,50.0,0.39815741777420044,success,66
50,10,20,0.5,1,0.0,0.0,1,4,50.0,0.4526030123233795,success,67
50,10,20,0.5,1,0.0,0.0,1,5,50.0,0.4512679874897003,success,68
50,10,20,0.5,1,0.0,0.0,1,6,50.0,0.46922022104263306,success,69
50,10,20,0.5,1,0.0,0.0,2,2,50.0,1.6198723316192627,success,70
50,10,20,0.5,1,0.0,0.0,2,3,50.0,1.8015037775039673,success,71
50,10,20,0.5,1,0.0,0.0,2,4,50.0,1.9393776655197144,success,72
50,10,20,0.5,1,0.0,0.0,2,5,50.0,2.052734851837158,success,73
50,10,20,0.5,1,0.0,0.0,2,6,50.0,2.097973585128784,success,74
50,10,20,0.5,1,0.0,0.25,0,2,50.0,1.064069390296936,success,75
50,10,20,0.5,1,0.0,0.25,0,3,50.0,0.9496256113052368,success,76
50,10,20,0.5,1,0.0,0.25,0,4,50.0,0.9596958160400391,success,77
50,10,20,0.5,1,0.0,0.25,0,5,50.0,1.0047392845153809,success,78
50,10,20,0.5,1,0.0,0.25,0,6,50.0,1.0270887613296509,success,79
50,10,20,0.5,1,0.0,0.25,1,2,50.0,0.44065535068511963,success,80
50,10,20,0.5,1,0.0,0.25,1,3,50.0,0.3562435805797577,success,81
50,10,20,0.5,1,0.0,0.25,1,4,50.0,0.29672184586524963,success,82
50,10,20,0.5,1,0.0,0.25,1,5,50.0,0.27587658166885376,success,83
50,10,20,0.5,1,0.0,0.25,1,6,50.0,0.27425098419189453,success,84
50,10,20,0.5,1,0.0,0.25,2,2,50.0,1.0162054300308228,success,85
50,10,20,0.5,1,0.0,0.25,2,3,50.0,0.9012661576271057,success,86
50,10,20,0.5,1,0.0,0.25,2,4,50.0,0.8513176441192627,success,87
50,10,20,0.5,1,0.0,0.25,2,5,50.0,0.8591411113739014,success,88
50,10,20,0.5,1,0.0,0.25,2,6,50.0,0.902634859085083,success,89
50,10,20,0.5,1,0.1,0.0,0,2,50.0,0.7997490763664246,success,90
50,10,20,0.5,1,0.1,0.0,0,3,50.0,0.7282834649085999,success,91
50,10,20,0.5,1,0.1,0.0,0,4,50.0,0.7502937912940979,success,92
50,10,20,0.5,1,0.1,0.0,0,5,50.0,0.7690342664718628,success,93
50,10,20,0.5,1,0.1,0.0,0,6,50.0,0.7565569877624512,success,94
50,10,20,0.5,1,0.1,0.0,1,2,50.0,0.4645567238330841,success,95
50,10,20,0.5,1,0.1,0.0,1,3,50.0,0.36745139956474304,success,96
